,maxIter,seed,elapsed,rank,map_val,trial
0,10,69,0:01:58.727421,1,0.016799568630947746,2
1,10,69,0:02:07.029809,2,0.01753734234534406,3
2,10,69,0:02:16.368804,3,0.00040025954139235676,4
3,10,69,0:02:24.253736,4,0.005025987583083486,5
4,10,69,0:02:28.935145,5,0.014748170499206192,6
5,10,69,0:02:33.041775,6,0.022460482048096534,7
6,10,69,0:02:33.154352,7,0.02002356764934924,8
7,10,69,0:02:39.416312,8,0.011884504730737473,9
8,10,69,0:02:40.950048,9,0.021864811034252214,10
9,10,69,0:02:43.439995,10,3.4274045294059353e-05,11
10,10,69,0:02:59.486632,11,0.021141519809795378,12
11,10,69,0:02:58.142233,12,0.022598023978664703,13
12,10,69,0:03:07.870233,13,0.01855809428650788,14
13,10,69,0:03:09.748523,14,0.00011050377874492855,15
14,10,69,0:03:15.086808,15,0.006216601863710662,16
15,10,69,0:03:22.632060,16,0.021527828299841067,17
16,10,69,0:03:30.526821,17,0.00013097562525904888,18
17,10,69,0:03:29.426009,18,0.0001460797719066076,19
18,10,69,0:03:33.986135,19,0.0013344097876591193,20
19,10,69,0:03:41.109108,20,0.0009686919254527468,21
20,10,69,0:03:53.435619,21,0.02405935605631011,22
21,10,69,0:03:51.662419,22,0.0002513932700544511,23
22,10,69,0:04:07.274065,23,0.016814949917405668,24
23,10,69,0:04:05.622002,24,0.00018946438024360635,25
24,10,69,0:04:20.757766,25,0.0026821228818180126,26
25,10,69,0:04:22.164094,26,0.0003890331059605554,27
26,10,69,0:04:31.765770,27,0.006888221091636243,28
